TM,STN,TA,POP,is_precip,WD_sin,WD_cos,SKY
202110151200,105,17.4,100,1,-0.3420201433256686,0.9396926207859084,DB04
202110151300,105,17.6,100,1,0.9396926207859083,0.3420201433256688,DB04
202110151400,105,17.2,100,1,1.0,6.123233995736766e-17,DB04
202110151500,105,16.9,100,1,0.9396926207859083,0.3420201433256688,DB04
202110151600,105,16.8,100,1,0.9396926207859083,0.3420201433256688,DB04
202110151700,105,16.6,100,1,0.9396926207859084,-0.3420201433256687,DB04
202110151800,105,16.4,100,1,-0.7660444431189779,-0.6427876096865395,DB04
202110151900,105,16.1,100,1,0.0,1.0,DB04
202110152000,105,16.1,100,1,-0.6427876096865396,0.7660444431189778,DB04
202110152100,105,16.0,100,1,0.0,1.0,DB04
202110152200,105,15.9,100,1,0.0,1.0,DB04
202110152300,105,15.7,0,0,-0.7660444431189779,-0.6427876096865395,DB04
202110160000,105,15.6,100,1,-0.7660444431189779,-0.6427876096865395,DB04
202110160100,105,15.4,100,1,-0.7660444431189779,-0.6427876096865395,DB04
202110160200,105,15.1,100,1,0.0,1.0,DB04
202110160300,105,15.0,100,1,-0.7660444431189779,-0.6427876096865395,DB04
202110160400,105,14.9,100,1,0.0,1.0,DB04
202110160500,105,14.7,100,1,-0.34202014332566866,-0.9396926207859084,DB04
202110160600,105,14.6,100,1,-0.7660444431189779,-0.6427876096865395,DB04
202110160700,105,14.5,0,0,-1.0,-1.8369701987210297e-16,DB04
202110160800,105,14.2,0,0,-0.9396926207859084,-0.34202014332566855,DB04
202110160900,105,14.1,0,0,-0.7660444431189779,-0.6427876096865395,DB03
202110161000,105,14.9,0,0,-0.9396926207859084,-0.34202014332566855,DB03
202110161100,105,16.9,0,0,-0.34202014332566866,-0.9396926207859084,DB04
202110161200,105,17.5,0,0,-0.6427876096865396,0.7660444431189778,DB04
202110161300,105,17.5,0,0,-1.0,-1.8369701987210297e-16,DB04
202110161400,105,17.4,0,0,-0.9396926207859083,0.342020143325669,DB04
202110161500,105,15.8,0,0,-0.6427876096865396,0.7660444431189778,DB04
202110161600,105,14.8,0,0,-0.6427876096865396,0.7660444431189778,DB04
202110161700,105,14.0,0,0,-0.9396926207859083,0.342020143325669,DB04
202110161800,105,13.2,0,0,-0.9396926207859083,0.342020143325669,DB04
202110161900,105,13.0,0,0,-0.9396926207859083,0.342020143325669,DB04
202110162000,105,12.7,0,0,-0.9396926207859083,0.342020143325669,DB04
202110162100,105,11.8,0,0,-0.9396926207859084,-0.34202014332566855,DB04
202110162200,105,10.3,0,0,-0.9396926207859083,0.342020143325669,DB03
202110162300,105,9.5,0,0,-1.0,-1.8369701987210297e-16,DB03
